POId,Site Name,SiteId,MR-Volume(KWh),D-REC Volume(KWh),%Tokenized
25297,Igbabo,4cfe05eb-67a3-430a-8d6d-f39e1c6eb575,125860.440199508,125860.429,0.9999999110164561
82909OC2,Ghughari,79e01e50-f027-4736-986a-02e69a94dc6f,1999.0002,1998.379,0.9996892446534021
82909OC2,Kansabel,b8506125-8680-454b-90b5-275e7d6499ec,3891.0002000000004,3890.241,0.9998048830735088
82909OC2,Mao Maram,c32897e3-dc03-4066-b97e-4bb178f28916,1496.0001999999997,1495.345,0.9995620321441135
82909OC2,Lundra ( Dhourpur ),79111389-9674-4d09-aad8-b80d61fa94d3,5186.0002,5186.69,1.0001330119501344
82909OC2,Mawai,ca04255c-495c-4a1c-9e5c-17ed48799847,2078.0002,2077.897,0.9999503368671476
82909OC2,Lakhanpur,e0cf88ce-808a-4be6-9f05-68412081ed4a,4959.0002,4959.345,1.000069530144403
82909OC2,Rampur Hat I(Kastagara hospital),83651e30-78a7-42e2-a893-fe21f0533248,2135.0002000000004,2134.828,0.9999193442698505
82909OC2,Rampur Hat (chakmondra hospital),35f3f823-9bbf-4cf3-ac25-d748cfda9abd,2256.0002,2255.517,0.999785815621825
82909OC2,Bakawand,99eac051-0dfb-408d-be05-4ecbb7b20f1f,3906.0002000000004,3906.552,1.0001412698340364
82909OC2,Batamaloo,4e7cd523-5080-45c3-9a3c-0f2cb9f4e03b,3564.0002000000004,3563.138,0.9997580808216563
82909OC2,Dharampur,b7602624-d38e-4514-b429-d2e91aaaea17,1531.0002,1531.586,1.00038262568483
82909OC2,Gadchiroli,e6846ec1-3d4c-4a4d-8c36-2cc21e4a213b,3644.0002000000004,3643.172,0.9997727222956793
82909OC2,Demdema,04c1be33-6f4d-4f4f-acae-cc8eefc82385,1496.0002,1496.31,1.000207085533812
82909OC2,Labpur Hospital,33ee717f-e8b6-4f7a-94a7-1a444b5744ab,2183.0002,2183.069,1.0000315162591373
82909OC2,Mawkyrwat,27db5800-2120-43c6-9e47-6518fbe2cf27,2454.0002,2454,0.9999999185004143
82909OC2,Nainpur,02c9a345-61e9-4d0c-b622-a4280130ba38,2038.0002,2037.414,0.9997123650920152
82909OC2,Pandua,3eb1e1b4-45c2-49b1-b1ab-e4abf0e7be0e,6160.0002,6160.448,1.0000726948028344
96570SME,Abhishek Kumar,645697c7-6bf4-4218-9532-a32e87c58d0b,27246.500099999997,12758.9,0.46827665766877713
82909OC2,Bichhiya,450f74e2-c87d-43a2-90e2-ba3245dd7011,2984.0002,2983.621,0.9998729222605279
82909OC2,Singur,db54a94c-61c9-47e2-975a-6cee283b1ff5,6182.0002,6182.414,1.0000669362644148
82909OC2,Rama,91bbc710-076c-4f96-ac1f-ea920af5d28a,3993.0002,3992.586,0.9998962684750179
82909OC2,Singngat,372db132-6bc8-43cb-b89f-b6ca1cf0423a,1516.0002,1516.345,1.00022744060324
82909OC2,Sunpura,d34db041-79b9-44a8-8dd6-046926cc8c03,1684.0002,1633.103,0.9697760130907347
82909OC2,Narayanganj,7fd94bf3-4c64-4305-bb11-762f8ad3b4f1,2044.0002,2044.69,1.0003374755051393
82909OC2,Mainpat (Narmadapur),bab02aac-7338-4161-90d9-777c0cbcd290,5023.0002,5023.517,1.0001028867169863
96570SME,Vishal Katiyar,32f91674-47cb-45e3-a2d0-56831f47c2ea,10546.930998000002,10162.33,0.9635343212093705
62092,Longching,ad4c85e0-ac10-4121-b14a-e94f5842157b,35521.0002001,35521,0.9999999943667126
37757c,LN000208 - device 2,6ccc7dbe-3a23-4c32-8c17-8398e3c37e06,84209.49999999999,21972.2,0.26092305499973284
58172a,Kancheepuram,2fe35d1a-aee9-43a1-882e-d863a2382ef4,13677.000199959999,13676.999,0.9999999122643869
62092a,Tangnyu,1677901a-0fbd-42e2-92d2-cc91b8b6e7e9,24635.0001997,24572,0.9974426547923971
05024,SKML,95e688c9-840f-407a-989a-595f3f325347,2876250.6000000006,2876250.6,0.9999999999999997
88079,Malhani,a9c89d04-b4f9-426b-a5d9-a241395691e4,40197.56,40197.56,1.0000000000000002
88079,Baheri,795148e3-5393-4acf-88c3-ea96c0440fcc,47032,47032,1
88079,Bakhri,47188d76-79a7-4c4b-83e9-25177edc50fd,53692,53692,1
88079,Latghat,5a5b9c9a-c215-4c15-bfd7-a4c31a9e705c,40160,40160,1
88079,Salempur,457d0c21-7a41-4ca0-9701-eb3dcea41683,67114.658,67114.658,1.0000000000000002
88079,Pipraich,513d2fa9-4ef0-4a69-91e1-275c456a5d80,34408,34408,1
88079,Harnaut,eb874a9c-f300-4158-851a-f922d27b8448,56530,56530,1
88079,Kaptanganj,4e6cae24-b339-459d-ba48-7fbfdcd3a765,43785.2,43785.2,1.0000000000000002
88079,Kerakat,c3cb8b8c-05d8-4f3c-80b7-eae5da913014,73832.512,73832.512,0.9999999999999998
88079,Bilariyaganj,6d8074a0-e836-4168-b058-09d1b2a598a7,60888,60888,1
88079,Nabinagar,316c1b8d-10dc-4fa9-89b0-6f8401a724db,67476,67476,1
88079,Jahagirganj,a298a7f1-da61-4506-af1c-e90cac5132b9,58055.772000000004,58055.772,0.9999999999999999
88079,Daudnagar,68c9edde-e416-4589-a779-0dfad2185b40,41832,41832,1
88079,Koath,2fb7ffa6-2833-497d-89d4-744ef062e375,26653.448000000004,26653.448,0.9999999999999999
36148,Iguemokhua,ff7a9c69-1664-4c4f-8bcb-433426c38a83,23940.600000000002,23940.6,0.9999999999999999
88079,Rohh,2c680fb9-b392-4a6a-88ce-12feb4baedff,48960,48960,1
88079,Mohamdabad,2c97982b-0ab5-4818-8b66-47ad7de9e680,29976.068,29976.068,1.0000000000000002
88079,Mehdawal,6d6ed22b-b4aa-40d9-b279-78579cd996b3,50549.577999999994,50549.578,1
