SiteId,CMRId,Token#,CertStartDt,CertEndDt,IsTokenized,IR Snt to Evident,Volume(Wh)
200b3516-392f-42b8-b4c0-8774c39e7b90,eff31ee6-00c3-4c54-ae9e-68bc4fcfcb8f,,,,true,,
f27832d0-33c8-4732-81b3-7ce9f11f9bae,0674a7ee-772b-4978-bd69-290ea22d5213,,,,true,,
4eff9af6-3d98-4aff-b4a4-a83a79a004c2,7bacd770-9576-40bb-a901-5dc85f4d8814,,,,true,,
a150c93d-3b8d-45e0-969d-10a983120eb5,,,,,,,
31cb18fd-5585-4a11-90ad-4ecbbbea13ed,,,,,,,
cb7fcdbd-c457-4eea-a25d-f0e80a2bc20f,998f07b6-8ade-457e-981b-ddab73ffe762,,,,true,,
99dec9ff-3760-4266-b6fa-8407f19ecc37,,,,,,,
11d9daf4-d5e2-43bc-8b00-13d3fdf4fdb7,a409ecfc-92c2-43c3-b25f-f02181d03f01,,,,true,,
4d2d58fc-665d-49cc-b523-31b0243c87c7,532402d0-3df9-4306-a342-066bf3219cd1,,,,true,,
dba66338-cbad-4f37-9e46-def2f1733f14,,,,,,,
1f33c852-f8e2-4170-985e-1513e3ad611c,dc18b359-49dd-45db-9e24-19618d2891a5,,,,true,,
6b705281-bd74-4ede-b344-6a4bf04aee90,c3848302-81f3-4739-ba7f-470845cb057f,,,,true,,
8e6911ca-cc06-4dde-b7a4-7e597ef6744a,,,,,,,
e6846ec1-3d4c-4a4d-8c36-2cc21e4a213b,,,,,,,
83651e30-78a7-42e2-a893-fe21f0533248,ba27ce70-6f78-40ad-a876-815b6a795209,,,,true,,
c33d95f8-1e26-49a3-a1bc-f8b6688b428f,,,,,,,
78e130c0-d234-4c92-8a57-b1e6cc6e1112,b5a2dff0-a4d4-4c31-8637-00f0299e7dcc,,,,true,,
e43cacab-87b1-4916-9c24-9ab823f15054,749ed986-1c83-4acd-938c-c7faae18a62c,,,,true,,
c4b6338a-3734-43b7-bc64-fdf58d95a2ec,248907f7-8997-4cde-a719-43a92fa1e623,,,,true,,
4163de3a-af08-4a70-aba2-d290099a43e5,,,,,,,
b07ce95b-2f25-46a2-a00f-5a9e492fcad0,,,,,,,
971239e9-5c4b-4b4d-a245-ba5aa8f689f5,,,,,,,
